TenantId,TimeGenerated,DisplayName,AlertName,AlertSeverity,Description,ProviderName,VendorName,VendorOriginalId,SystemAlertId,ResourceId,SourceComputerId,AlertType,ConfidenceLevel,ConfidenceScore,IsIncident,StartTime,EndTime,ProcessingEndTime,RemediationSteps,ExtendedProperties,Entities,SourceSystem,WorkspaceSubscriptionId,WorkspaceResourceGroup,ExtendedLinks,ProductName,ProductComponentName,AlertLink,Status,CompromisedEntity,Tactics,Techniques,SubTechniques,Type
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T09:25:00Z,npm registry cache refresh on peer developer host,npm registry cache refresh on peer developer host,Informational,Routine package metadata fetch on separate device in Engineering machine group.,MDATP,Microsoft,defender-88010,sa-benign-npm-peer-010,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,15,0,2026-05-28T09:22:00Z,2026-05-28T09:26:00Z,2026-05-28T09:26:00Z,No action required.,"{""DeviceName"":""CS-DEV-01407""}","[{""Type"":""host"",""Name"":""CS-DEV-01407""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-npm-peer-010,Resolved,CS-DEV-01407,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T08:48:30Z,Git credential manager authentication,Git credential manager authentication,Informational,Expected developer workflow invoking git-credential-manager-core for Azure DevOps.,MDATP,Microsoft,defender-88011,sa-benign-git-011,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,18,0,2026-05-28T08:47:00Z,2026-05-28T08:49:00Z,2026-05-28T08:49:00Z,No action required.,"{""Remote"":""dev.azure.com/corp-example""}","[{""Type"":""account"",""Name"":""jordan.velez@creditsafe.com""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-git-011,Resolved,jordan.velez@creditsafe.com,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T06:12:00Z,Failed sign-in for disabled former contractor account,Failed sign-in for disabled former contractor account,Low,Sign-in failure for account marked disabled in Entra ID.,MDATP,Microsoft,defender-88012,sa-false-leaver-012,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,AADIdentityProtection,Low,35,0,2026-05-28T06:10:00Z,2026-05-28T06:15:00Z,2026-05-28T06:15:00Z,Monitor for password spray; no linkage to active incident.,"{""UserPrincipalName"":""t.oconnor.contractor@creditsafe.com""}","[{""Type"":""account"",""Name"":""t.oconnor.contractor@creditsafe.com""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-false-leaver-012,Resolved,t.oconnor.contractor@creditsafe.com,Credential Access,T1110,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T08:22:00Z,dotnet restore from nuget.org,dotnet restore from nuget.org,Informational,Package restore for internal API solution using standard NuGet feed.,MDATP,Microsoft,defender-88013,sa-benign-dotnet-013,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,10,0,2026-05-28T08:20:00Z,2026-05-28T08:24:00Z,2026-05-28T08:24:00Z,No action required.,"{""Solution"":""Platform.Api.sln""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-dotnet-013,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:00:00Z,Routine background scan 0,Routine background scan 0,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890000,sa-benign-scan-0,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:00:00Z,2026-05-28T11:00:00Z,2026-05-28T11:00:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-0,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:01:01Z,Routine background scan 1,Routine background scan 1,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890001,sa-benign-scan-1,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:01:00Z,2026-05-28T11:01:00Z,2026-05-28T11:01:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-1,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:02:02Z,Routine background scan 2,Routine background scan 2,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890002,sa-benign-scan-2,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:02:00Z,2026-05-28T11:02:00Z,2026-05-28T11:02:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-2,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:03:03Z,Routine background scan 3,Routine background scan 3,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890003,sa-benign-scan-3,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:03:00Z,2026-05-28T11:03:00Z,2026-05-28T11:03:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-3,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:04:04Z,Routine background scan 4,Routine background scan 4,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890004,sa-benign-scan-4,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:04:00Z,2026-05-28T11:04:00Z,2026-05-28T11:04:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-4,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:05:05Z,Routine background scan 5,Routine background scan 5,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890005,sa-benign-scan-5,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:05:00Z,2026-05-28T11:05:00Z,2026-05-28T11:05:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-5,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:06:06Z,Routine background scan 6,Routine background scan 6,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890006,sa-benign-scan-6,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:06:00Z,2026-05-28T11:06:00Z,2026-05-28T11:06:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-6,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:07:07Z,Routine background scan 7,Routine background scan 7,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890007,sa-benign-scan-7,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:07:00Z,2026-05-28T11:07:00Z,2026-05-28T11:07:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-7,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:08:08Z,Routine background scan 8,Routine background scan 8,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890008,sa-benign-scan-8,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:08:00Z,2026-05-28T11:08:00Z,2026-05-28T11:08:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-8,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:09:09Z,Routine background scan 9,Routine background scan 9,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890009,sa-benign-scan-9,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:09:00Z,2026-05-28T11:09:00Z,2026-05-28T11:09:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-9,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:10:10Z,Routine background scan 10,Routine background scan 10,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890010,sa-benign-scan-10,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:10:00Z,2026-05-28T11:10:00Z,2026-05-28T11:10:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-10,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:11:11Z,Routine background scan 11,Routine background scan 11,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890011,sa-benign-scan-11,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:11:00Z,2026-05-28T11:11:00Z,2026-05-28T11:11:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-11,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:12:12Z,Routine background scan 12,Routine background scan 12,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890012,sa-benign-scan-12,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:12:00Z,2026-05-28T11:12:00Z,2026-05-28T11:12:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-12,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:13:13Z,Routine background scan 13,Routine background scan 13,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890013,sa-benign-scan-13,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:13:00Z,2026-05-28T11:13:00Z,2026-05-28T11:13:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-13,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:14:14Z,Routine background scan 14,Routine background scan 14,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890014,sa-benign-scan-14,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:14:00Z,2026-05-28T11:14:00Z,2026-05-28T11:14:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-14,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:15:15Z,Routine background scan 15,Routine background scan 15,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890015,sa-benign-scan-15,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:15:00Z,2026-05-28T11:15:00Z,2026-05-28T11:15:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-15,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:16:16Z,Routine background scan 16,Routine background scan 16,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890016,sa-benign-scan-16,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:16:00Z,2026-05-28T11:16:00Z,2026-05-28T11:16:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-16,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:17:17Z,Routine background scan 17,Routine background scan 17,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890017,sa-benign-scan-17,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:17:00Z,2026-05-28T11:17:00Z,2026-05-28T11:17:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-17,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:18:18Z,Routine background scan 18,Routine background scan 18,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890018,sa-benign-scan-18,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:18:00Z,2026-05-28T11:18:00Z,2026-05-28T11:18:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-18,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:19:19Z,Routine background scan 19,Routine background scan 19,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890019,sa-benign-scan-19,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:19:00Z,2026-05-28T11:19:00Z,2026-05-28T11:19:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-19,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:20:20Z,Routine background scan 20,Routine background scan 20,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890020,sa-benign-scan-20,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:20:00Z,2026-05-28T11:20:00Z,2026-05-28T11:20:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-20,Resolved,CS-DEV-01982,,,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T11:21:21Z,Routine background scan 21,Routine background scan 21,Informational,Scheduled Windows Defender background scan completed.,MDATP,Microsoft,defender-890021,sa-benign-scan-21,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,5,0,2026-05-28T11:21:00Z,2026-05-28T11:21:00Z,2026-05-28T11:21:00Z,No action required.,"{""ScanType"":""Quick""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-scan-21,Resolved,CS-DEV-01982,,,,SecurityAlert
